date,home_team,away_team,home_score,away_score,tournament,neutral
2022-04-16,Toronto,Philadelphia Union,2,1,mls,FALSE
2022-04-16,New England Revolution,Charlotte,2,1,mls,FALSE
2022-04-16,Columbus Crew,Orlando City SC,0,2,mls,FALSE
2022-04-16,DC United,Austin,2,3,mls,FALSE
2022-04-17,Chicago Fire,Los Angeles Galaxy,0,0,mls,FALSE
2022-04-17,Minnesota United,Colorado Rapids,3,1,mls,FALSE
2022-04-17,Seattle Sounders,Inter Miami,0,1,mls,FALSE
2022-04-17,New York City,Real Salt Lake,6,0,mls,FALSE
2022-04-17,Los Angeles FC,Sporting Kansas City,3,1,mls,FALSE
2022-04-23,FC Dallas,Houston Dynamo,2,1,mls,FALSE
2022-04-23,Philadelphia Union,CF Montreal,1,1,mls,FALSE
2022-04-23,Minnesota United,Chicago Fire,3,0,mls,FALSE
2022-04-23,DC United,New England Revolution,3,2,mls,FALSE
2022-04-24,Sporting Kansas City,Columbus Crew,0,0,mls,FALSE
2022-04-24,Austin,Vancouver Whitecaps,3,0,mls,FALSE
2022-04-24,Colorado Rapids,Charlotte,0,0,mls,FALSE
2022-04-24,San Jose Earthquakes,Seattle Sounders,4,3,mls,FALSE
2022-04-24,Portland Timbers,Real Salt Lake,0,0,mls,FALSE
2022-04-24,Los Angeles Galaxy,Nashville SC,1,0,mls,FALSE
2022-04-24,Inter Miami,Atlanta United,2,1,mls,FALSE
2022-04-24,Orlando City SC,New York Red Bulls,0,3,mls,FALSE
2022-04-24,New York City,Toronto,5,4,mls,FALSE
2022-04-24,FC Cincinnati,Los Angeles FC,1,2,mls,FALSE
2022-04-30,Houston Dynamo,Austin,1,2,mls,FALSE
2022-04-30,Toronto,FC Cincinnati,1,2,mls,FALSE
2022-04-30,Real Salt Lake,Los Angeles Galaxy,1,0,mls,FALSE
2022-04-30,CF Montreal,Atlanta United,2,1,mls,FALSE
2022-04-30,Orlando City SC,Charlotte,2,1,mls,FALSE
2022-04-30,New England Revolution,Inter Miami,2,0,mls,FALSE
2022-04-30,Columbus Crew,DC United,3,0,mls,FALSE
2022-05-01,Chicago Fire,New York Red Bulls,1,2,mls,FALSE
2022-05-01,Sporting Kansas City,FC Dallas,2,2,mls,FALSE
2022-05-01,Colorado Rapids,Portland Timbers,2,0,mls,FALSE
2022-05-01,New York City,San Jose Earthquakes,3,0,mls,FALSE
2022-05-01,Nashville SC,Philadelphia Union,1,1,mls,FALSE
2022-05-02,Los Angeles FC,Minnesota United,2,0,mls,FALSE
2022-05-04,FC Cincinnati,Toronto,2,0,mls,FALSE
2022-05-07,Charlotte,Inter Miami,1,0,mls,FALSE
2022-05-07,CF Montreal,Orlando City SC,4,1,mls,FALSE
2022-05-07,Atlanta United,Chicago Fire,4,1,mls,FALSE
2022-05-07,New York Red Bulls,Portland Timbers,1,1,mls,FALSE
2022-05-07,New York City,Sporting Kansas City,0,0,mls,FALSE
2022-05-07,New England Revolution,Columbus Crew,2,2,mls,FALSE
2022-05-07,DC United,Houston Dynamo,2,0,mls,FALSE
