date,home_team,away_team,home_score,away_score,tournament,neutral
2022-09-04,Toronto,CF Montreal,3,4,mls,FALSE
2022-09-04,DC United,Colorado Rapids,0,0,mls,FALSE
2022-09-05,Los Angeles Galaxy,Sporting Kansas City,2,2,mls,FALSE
2022-09-05,New England Revolution,New York City,3,0,mls,FALSE
2022-09-05,Seattle Sounders,Houston Dynamo,2,1,mls,FALSE
2022-09-05,San Jose Earthquakes,Vancouver Whitecaps,2,0,mls,FALSE
2022-09-05,Los Angeles FC,Real Salt Lake,2,0,mls,FALSE
2022-09-08,New York City,FC Cincinnati,1,1,mls,FALSE
2022-09-09,CF Montreal,Columbus Crew,2,2,mls,FALSE
2022-09-10,Charlotte,New York City,1,0,mls,FALSE
2022-09-10,Nashville SC,Los Angeles Galaxy,1,1,mls,FALSE
2022-09-10,New York Red Bulls,New England Revolution,2,1,mls,FALSE
2022-09-10,Philadelphia Union,Orlando City SC,5,1,mls,FALSE
2022-09-10,Atlanta United,Toronto,4,2,mls,FALSE
2022-09-10,FC Cincinnati,San Jose Earthquakes,6,0,mls,FALSE
2022-09-11,Seattle Sounders,Austin,3,0,mls,FALSE
2022-09-11,Chicago Fire,Inter Miami,3,1,mls,FALSE
2022-09-11,FC Dallas,Los Angeles FC,2,1,mls,FALSE
2022-09-11,Houston Dynamo,Sporting Kansas City,0,0,mls,FALSE
2022-09-11,Real Salt Lake,DC United,0,0,mls,FALSE
2022-09-11,Colorado Rapids,Vancouver Whitecaps,3,1,mls,FALSE
2022-09-11,Portland Timbers,Minnesota United,1,0,mls,FALSE
2022-09-13,CF Montreal,Chicago Fire,3,2,mls,FALSE
2022-09-14,Minnesota United,Los Angeles FC,1,1,mls,FALSE
2022-09-14,Inter Miami,Columbus Crew,2,1,mls,FALSE
2022-09-14,Houston Dynamo,New England Revolution,3,1,mls,FALSE
2022-09-14,Sporting Kansas City,DC United,3,0,mls,FALSE
2022-09-14,Orlando City SC,Atlanta United,0,1,mls,FALSE
2022-09-15,Austin,Real Salt Lake,3,0,mls,FALSE
2022-09-15,Vancouver Whitecaps,Los Angeles Galaxy,3,0,mls,FALSE
2022-09-15,Colorado Rapids,San Jose Earthquakes,2,1,mls,FALSE
2022-09-17,New York City,New York Red Bulls,2,0,mls,FALSE
2022-09-17,Atlanta United,Philadelphia Union,0,0,mls,FALSE
2022-09-17,Orlando City SC,Toronto,4,0,mls,FALSE
2022-09-17,New England Revolution,CF Montreal,0,1,mls,FALSE
2022-09-18,Chicago Fire,Charlotte,2,3,mls,FALSE
2022-09-18,Sporting Kansas City,Minnesota United,4,1,mls,FALSE
2022-09-18,Austin,Nashville SC,1,1,mls,FALSE
2022-09-18,Real Salt Lake,FC Cincinnati,1,2,mls,FALSE
2022-09-18,Vancouver Whitecaps,Seattle Sounders,2,1,mls,FALSE
2022-09-18,San Jose Earthquakes,FC Dallas,1,1,mls,FALSE
2022-09-18,Los Angeles Galaxy,Colorado Rapids,4,1,mls,FALSE
2022-09-18,Columbus Crew,Portland Timbers,1,1,mls,FALSE
2022-09-18,DC United,Inter Miami,2,3,mls,FALSE
2022-09-19,Los Angeles FC,Houston Dynamo,3,1,mls,FALSE
2022-09-25,San Jose Earthquakes,Los Angeles Galaxy,2,3,mls,FALSE
2022-09-28,Seattle Sounders,FC Cincinnati,1,1,mls,FALSE
2022-09-30,Toronto,Inter Miami,0,1,mls,FALSE
2022-10-01,New England Revolution,Atlanta United,2,1,mls,FALSE
2022-10-01,Colorado Rapids,FC Dallas,1,0,mls,FALSE
2022-10-01,Charlotte,Philadelphia Union,4,0,mls,FALSE
2022-10-01,Columbus Crew,New York Red Bulls,2,1,mls,FALSE
2022-10-01,CF Montreal,DC United,1,0,mls,FALSE
2022-10-01,FC Cincinnati,Chicago Fire,2,3,mls,FALSE
2022-10-02,San Jose Earthquakes,Minnesota United,2,0,mls,FALSE
2022-10-02,Vancouver Whitecaps,Austin,2,0,mls,FALSE
2022-10-02,Los Angeles Galaxy,Real Salt Lake,1,1,mls,FALSE
2022-10-02,New York City,Orlando City SC,2,1,mls,FALSE
2022-10-02,Portland Timbers,Los Angeles FC,1,2,mls,FALSE
2022-10-02,Sporting Kansas City,Seattle Sounders,1,0,mls,FALSE
2022-10-03,Nashville SC,Houston Dynamo,1,2,mls,FALSE
2022-10-05,Charlotte,Columbus Crew,2,2,mls,FALSE
2022-10-06,Inter Miami,Orlando City SC,4,1,mls,FALSE
2022-10-09,Orlando City SC,Columbus Crew,2,1,mls,FALSE
2022-10-09,Philadelphia Union,Toronto,4,0,mls,FALSE
2022-10-09,New York Red Bulls,Charlotte,2,0,mls,FALSE
2022-10-09,Chicago Fire,New England Revolution,1,1,mls,FALSE
2022-10-09,Atlanta United,New York City,1,2,mls,FALSE
2022-10-09,DC United,FC Cincinnati,2,5,mls,FALSE
2022-10-09,Inter Miami,CF Montreal,1,3,mls,FALSE
2022-10-09,Seattle Sounders,San Jose Earthquakes,2,2,mls,FALSE
2022-10-09,FC Dallas,Sporting Kansas City,2,1,mls,FALSE
2022-10-09,Houston Dynamo,Los Angeles Galaxy,1,3,mls,FALSE
2022-10-09,Real Salt Lake,Portland Timbers,3,1,mls,FALSE
2022-10-09,Minnesota United,Vancouver Whitecaps,2,0,mls,FALSE
2022-10-09,Los Angeles FC,Nashville SC,0,1,mls,FALSE
2022-10-09,Austin,Colorado Rapids,1,1,mls,FALSE
2022-10-15,New York Red Bulls,FC Cincinnati,1,2,mls,FALSE
2022-10-15,Los Angeles Galaxy,Nashville SC,1,0,mls,FALSE
2022-10-16,Austin,Real Salt Lake,2,2,mls,FALSE
2022-10-17,CF Montreal,Orlando City SC,2,0,mls,FALSE
2022-10-17,New York City,Inter Miami,3,0,mls,FALSE
2022-10-18,FC Dallas,Minnesota United,1,1,mls,FALSE
2022-10-21,Philadelphia Union,FC Cincinnati,1,0,mls,FALSE
2022-10-21,Los Angeles FC,Los Angeles Galaxy,3,2,mls,FALSE
2022-10-23,CF Montreal,New York City,1,3,mls,FALSE
2022-10-24,Austin,FC Dallas,2,1,mls,FALSE
2022-10-30,Los Angeles FC,Austin,3,0,mls,FALSE
2022-10-31,Philadelphia Union,New York City,3,1,mls,FALSE
2022-11-05,Los Angeles FC,Philadelphia Union,3,3,mls,FALSE
2023-02-25,Nashville SC,New York City,2,0,mls,FALSE
2023-02-26,Orlando City SC,New York Red Bulls,1,0,mls,FALSE
2023-02-26,Philadelphia Union,Columbus Crew,4,1,mls,FALSE
2023-02-26,Atlanta United,San Jose Earthquakes,2,1,mls,FALSE
2023-02-26,DC United,Toronto,3,2,mls,FALSE
2023-02-26,FC Cincinnati,Houston Dynamo,2,1,mls,FALSE
2023-02-26,Inter Miami,CF Montreal,2,0,mls,FALSE
2023-02-26,Charlotte,New England Revolution,0,1,mls,FALSE
2023-02-26,FC Dallas,Minnesota United,0,1,mls,FALSE
2023-02-26,Austin,St. Louis City,2,3,mls,FALSE
2023-02-26,Vancouver Whitecaps,Real Salt Lake,1,2,mls,FALSE
2023-02-27,Seattle Sounders,Colorado Rapids,4,0,mls,FALSE
2023-02-28,Portland Timbers,Sporting Kansas City,1,0,mls,FALSE
2023-03-04,Los Angeles FC,Portland Timbers,3,2,mls,FALSE
2023-03-05,Orlando City SC,FC Cincinnati,0,0,mls,FALSE
2023-03-05,New York Red Bulls,Nashville SC,0,0,mls,FALSE
2023-03-05,Atlanta United,Toronto,1,1,mls,FALSE
2023-03-05,New England Revolution,Houston Dynamo,3,0,mls,FALSE
2023-03-05,Columbus Crew,DC United,2,0,mls,FALSE
2023-03-05,Inter Miami,Philadelphia Union,2,0,mls,FALSE
2023-03-05,FC Dallas,Los Angeles Galaxy,3,1,mls,FALSE
2023-03-05,Chicago Fire,New York City,1,1,mls,FALSE
2023-03-05,Austin,CF Montreal,1,0,mls,FALSE
2023-03-05,St. Louis City,Charlotte,3,1,mls,FALSE
2023-03-05,Colorado Rapids,Sporting Kansas City,0,0,mls,FALSE
2023-03-05,Seattle Sounders,Real Salt Lake,2,0,mls,FALSE
2023-03-05,San Jose Earthquakes,Vancouver Whitecaps,2,1,mls,FALSE
2023-03-10,Vancouver Whitecaps,FC Dallas,1,1,mls,FALSE
2023-03-11,Charlotte,Atlanta United,0,3,mls,FALSE
2023-03-12,Philadelphia Union,Chicago Fire,1,0,mls,FALSE
2023-03-12,Toronto,Columbus Crew,1,1,mls,FALSE
2023-03-12,New York City,Inter Miami,1,0,mls,FALSE
2023-03-12,DC United,Orlando City SC,1,1,mls,FALSE
2023-03-12,FC Cincinnati,Seattle Sounders,1,0,mls,FALSE
2023-03-12,Sporting Kansas City,Los Angeles Galaxy,0,0,mls,FALSE
2023-03-12,Minnesota United,New York Red Bulls,1,1,mls,FALSE
2023-03-12,Nashville SC,CF Montreal,2,0,mls,FALSE
2023-03-12,Real Salt Lake,Austin,1,2,mls,FALSE
2023-03-12,San Jose Earthquakes,Colorado Rapids,1,0,mls,FALSE
2023-03-12,Portland Timbers,St. Louis City,1,2,mls,FALSE
2023-03-13,Los Angeles FC,New England Revolution,4,0,mls,FALSE
2023-03-18,Seattle Sounders,Los Angeles FC,0,0,mls,FALSE
2023-03-18,Orlando City SC,Charlotte,1,2,mls,FALSE
2023-03-18,Toronto,Inter Miami,2,0,mls,FALSE
2023-03-18,New York Red Bulls,Columbus Crew,2,1,mls,FALSE
2023-03-18,New York City,DC United,3,2,mls,FALSE
2023-03-18,Atlanta United,Portland Timbers,5,1,mls,FALSE
2023-03-18,New England Revolution,Nashville SC,1,0,mls,FALSE
2023-03-18,CF Montreal,Philadelphia Union,3,2,mls,FALSE
2023-03-19,FC Dallas,Sporting Kansas City,2,1,mls,FALSE
2023-03-19,Houston Dynamo,Austin,2,0,mls,FALSE
2023-03-19,Chicago Fire,FC Cincinnati,3,3,mls,FALSE
2023-03-19,St. Louis City,San Jose Earthquakes,3,0,mls,FALSE
2023-03-19,Colorado Rapids,Minnesota United,1,2,mls,FALSE
2023-03-19,Los Angeles Galaxy,Vancouver Whitecaps,1,1,mls,FALSE
2023-03-25,Portland Timbers,Los Angeles Galaxy,0,0,mls,FALSE
2023-03-25,Philadelphia Union,Orlando City SC,1,2,mls,FALSE
2023-03-25,Columbus Crew,Atlanta United,6,1,mls,FALSE
2023-03-25,DC United,New England Revolution,1,2,mls,FALSE
2023-03-25,Inter Miami,Chicago Fire,2,3,mls,FALSE
2023-03-25,Charlotte,New York Red Bulls,1,1,mls,FALSE
2023-03-26,Houston Dynamo,New York City,1,0,mls,FALSE
2023-03-26,Sporting Kansas City,Seattle Sounders,1,4,mls,FALSE
2023-03-26,Minnesota United,Vancouver Whitecaps,1,1,mls,FALSE
2023-03-26,Nashville SC,FC Cincinnati,0,1,mls,FALSE
2023-03-26,Austin,Colorado Rapids,1,1,mls,FALSE
2023-03-26,Real Salt Lake,St. Louis City,0,4,mls,FALSE
2023-03-26,San Jose Earthquakes,Toronto,0,0,mls,FALSE
2023-03-26,Los Angeles FC,FC Dallas,2,1,mls,FALSE
2023-04-01,Orlando City SC,Nashville SC,0,2,mls,FALSE
2023-04-01,Philadelphia Union,Sporting Kansas City,0,0,mls,FALSE
2023-04-01,Toronto,Charlotte,2,2,mls,FALSE
2023-04-01,Los Angeles Galaxy,Seattle Sounders,1,2,mls,FALSE
2023-04-01,Atlanta United,New York Red Bulls,1,0,mls,FALSE
2023-04-01,New England Revolution,New York City,1,1,mls,FALSE
2023-04-01,Columbus Crew,Real Salt Lake,4,0,mls,FALSE
2023-04-01,FC Cincinnati,Inter Miami,1,0,mls,FALSE
2023-04-02,FC Dallas,Portland Timbers,1,1,mls,FALSE
2023-04-02,Chicago Fire,DC United,0,0,mls,FALSE
2023-04-02,St. Louis City,Minnesota United,0,1,mls,FALSE
2023-04-02,Colorado Rapids,Los Angeles FC,0,0,mls,FALSE
2023-04-02,San Jose Earthquakes,Houston Dynamo,2,1,mls,FALSE
2023-04-02,Vancouver Whitecaps,CF Montreal,5,0,mls,FALSE
2023-04-08,New York Red Bulls,San Jose Earthquakes,1,1,mls,FALSE
2023-04-08,New York City,Atlanta United,1,1,mls,FALSE
2023-04-08,New England Revolution,CF Montreal,4,0,mls,FALSE
2023-04-08,DC United,Columbus Crew,0,2,mls,FALSE
2023-04-08,Los Angeles FC,Austin,3,0,mls,FALSE
2023-04-08,FC Cincinnati,Philadelphia Union,1,0,mls,FALSE
2023-04-08,Inter Miami,FC Dallas,0,1,mls,FALSE
2023-04-09,Houston Dynamo,Los Angeles Galaxy,3,0,mls,FALSE
2023-04-09,Chicago Fire,Minnesota United,2,1,mls,FALSE
2023-04-09,Sporting Kansas City,Colorado Rapids,0,1,mls,FALSE
2023-04-09,Nashville SC,Toronto,0,0,mls,FALSE
2023-04-09,Real Salt Lake,Charlotte,3,1,mls,FALSE
2023-04-09,Seattle Sounders,St. Louis City,3,0,mls,FALSE
2023-04-09,Vancouver Whitecaps,Portland Timbers,1,0,mls,FALSE
2023-04-15,Toronto,Atlanta United,2,2,mls,FALSE
2023-04-15,New York Red Bulls,Houston Dynamo,1,1,mls,FALSE
2023-04-15,New York City,Nashville SC,2,1,mls,FALSE
2023-04-15,Columbus Crew,New England Revolution,1,1,mls,FALSE
2023-04-15,CF Montreal,DC United,0,1,mls,FALSE
2023-04-15,Charlotte,Colorado Rapids,2,2,mls,FALSE
2023-04-16,FC Dallas,Real Salt Lake,2,1,mls,FALSE
2023-04-16,Chicago Fire,Philadelphia Union,2,2,mls,FALSE
2023-04-16,Minnesota United,Orlando City SC,1,2,mls,FALSE
2023-04-16,Austin,Vancouver Whitecaps,0,0,mls,FALSE
2023-04-16,St. Louis City,FC Cincinnati,5,1,mls,FALSE
2023-04-16,San Jose Earthquakes,Sporting Kansas City,3,0,mls,FALSE
2023-04-16,Portland Timbers,Seattle Sounders,4,1,mls,FALSE
2023-04-16,Los Angeles Galaxy,Los Angeles FC,2,3,mls,FALSE
2023-04-22,Orlando City SC,DC United,1,3,mls,FALSE
2023-04-22,Philadelphia Union,Toronto,4,2,mls,FALSE
2023-04-22,New York City,FC Dallas,3,1,mls,FALSE
2023-04-22,New England Revolution,Sporting Kansas City,2,1,mls,FALSE
2023-04-22,CF Montreal,New York Red Bulls,2,0,mls,FALSE
2023-04-22,FC Cincinnati,Portland Timbers,2,1,mls,FALSE
2023-04-22,Charlotte,Columbus Crew,1,0,mls,FALSE
2023-04-23,Houston Dynamo,Inter Miami,1,0,mls,FALSE
2023-04-23,Nashville SC,Los Angeles FC,1,1,mls,FALSE
2023-04-23,Real Salt Lake,San Jose Earthquakes,3,1,mls,FALSE
2023-04-23,Colorado Rapids,St. Louis City,1,1,mls,FALSE
2023-04-23,Seattle Sounders,Minnesota United,1,0,mls,FALSE
2023-04-23,Los Angeles Galaxy,Austin,2,0,mls,FALSE
2023-04-23,Atlanta United,Chicago Fire,2,1,mls,FALSE
2023-04-29,Nashville SC,Atlanta United,3,1,mls,FALSE
2023-04-29,Orlando City SC,Los Angeles Galaxy,2,0,mls,FALSE
2023-04-29,Toronto,New York City,1,0,mls,FALSE
2023-04-29,New England Revolution,FC Cincinnati,1,1,mls,FALSE
2023-04-29,Columbus Crew,Inter Miami,1,2,mls,FALSE
2023-04-29,DC United,Charlotte,3,0,mls,FALSE
2023-04-30,Chicago Fire,New York Red Bulls,1,1,mls,FALSE
2023-04-30,Sporting Kansas City,CF Montreal,0,2,mls,FALSE
2023-04-30,Austin,San Jose Earthquakes,2,2,mls,FALSE
2023-04-30,St. Louis City,Portland Timbers,1,2,mls,FALSE
2023-04-30,Real Salt Lake,Seattle Sounders,0,0,mls,FALSE
2023-04-30,Vancouver Whitecaps,Colorado Rapids,0,0,mls,FALSE
2023-05-01,Minnesota United,FC Dallas,0,0,mls,FALSE
2023-05-06,San Jose Earthquakes,Los Angeles FC,2,1,mls,FALSE
2023-05-06,Toronto,New England Revolution,0,2,mls,FALSE
2023-05-06,New York Red Bulls,Philadelphia Union,0,1,mls,FALSE
2023-05-06,CF Montreal,Orlando City SC,2,0,mls,FALSE
2023-05-06,FC Cincinnati,DC United,2,1,mls,FALSE
2023-05-06,Inter Miami,Atlanta United,2,1,mls,FALSE
2023-05-06,Charlotte,New York City,3,2,mls,FALSE
2023-05-07,Houston Dynamo,Real Salt Lake,0,0,mls,FALSE
2023-05-07,Nashville SC,Chicago Fire,3,0,mls,FALSE
2023-05-07,Vancouver Whitecaps,Minnesota United,3,2,mls,FALSE
2023-05-07,Los Angeles Galaxy,Colorado Rapids,1,3,mls,FALSE
2023-05-07,Portland Timbers,Austin,2,2,mls,FALSE
2023-05-07,Seattle Sounders,Sporting Kansas City,1,2,mls,FALSE
2023-05-13,Chicago Fire,St. Louis City,1,0,mls,FALSE
2023-05-13,New York Red Bulls,New York City,1,0,mls,FALSE
2023-05-13,Atlanta United,Charlotte,1,3,mls,FALSE
2023-05-13,Columbus Crew,Orlando City SC,2,2,mls,FALSE
2023-05-13,CF Montreal,Toronto,2,0,mls,FALSE
2023-05-13,DC United,Nashville SC,1,1,mls,FALSE
2023-05-13,Inter Miami,New England Revolution,2,1,mls,FALSE
2023-05-14,Houston Dynamo,Seattle Sounders,0,1,mls,FALSE
2023-05-14,Sporting Kansas City,Minnesota United,3,0,mls,FALSE
2023-05-14,Austin,FC Dallas,0,1,mls,FALSE
2023-05-14,Real Salt Lake,Los Angeles FC,0,3,mls,FALSE
2023-05-14,Colorado Rapids,Philadelphia Union,1,2,mls,FALSE
2023-05-14,Portland Timbers,Vancouver Whitecaps,3,1,mls,FALSE
2023-05-15,Los Angeles Galaxy,San Jose Earthquakes,2,1,mls,FALSE
2023-05-17,Orlando City SC,New York City,1,1,mls,FALSE
2023-05-17,Philadelphia Union,DC United,0,0,mls,FALSE
2023-05-17,Toronto,New York Red Bulls,0,0,mls,FALSE
2023-05-17,Atlanta United,Colorado Rapids,4,0,mls,FALSE
2023-05-17,Columbus Crew,Los Angeles Galaxy,2,0,mls,FALSE
2023-05-17,FC Cincinnati,CF Montreal,3,0,mls,FALSE
2023-05-17,Charlotte,Chicago Fire,2,1,mls,FALSE
2023-05-18,FC Dallas,Vancouver Whitecaps,2,1,mls,FALSE
2023-05-18,Minnesota United,Houston Dynamo,1,0,mls,FALSE
2023-05-18,Nashville SC,Inter Miami,2,1,mls,FALSE
2023-05-18,Real Salt Lake,Portland Timbers,0,0,mls,FALSE
2023-05-18,Seattle Sounders,Austin,1,2,mls,FALSE
2023-05-18,Los Angeles FC,Sporting Kansas City,1,1,mls,FALSE
2023-05-20,Philadelphia Union,New England Revolution,3,0,mls,FALSE
2023-05-20,New York Red Bulls,CF Montreal,2,1,mls,FALSE
2023-05-20,DC United,Los Angeles Galaxy,3,0,mls,FALSE
2023-05-20,FC Cincinnati,Columbus Crew,3,2,mls,FALSE
2023-05-20,Inter Miami,Orlando City SC,1,3,mls,FALSE
2023-05-20,Charlotte,Nashville SC,1,2,mls,FALSE
2023-05-21,FC Dallas,Houston Dynamo,1,1,mls,FALSE
2023-05-21,Chicago Fire,Atlanta United,3,3,mls,FALSE
2023-05-21,Austin,Toronto,1,0,mls,FALSE
2023-05-21,Colorado Rapids,Real Salt Lake,2,3,mls,FALSE
2023-05-21,St. Louis City,Sporting Kansas City,4,0,mls,FALSE
2023-05-21,Vancouver Whitecaps,Seattle Sounders,2,0,mls,FALSE
2023-05-21,Los Angeles FC,San Jose Earthquakes,2,1,mls,FALSE
2023-05-21,Portland Timbers,Minnesota United,0,1,mls,FALSE
2023-05-27,Orlando City SC,Atlanta United,1,1,mls,FALSE
2023-05-27,Toronto,DC United,2,1,mls,FALSE
2023-05-27,New York City,Philadelphia Union,1,3,mls,FALSE
2023-05-27,New England Revolution,Chicago Fire,3,3,mls,FALSE
2023-05-27,CF Montreal,Inter Miami,1,0,mls,FALSE
2023-05-28,Houston Dynamo,Austin,2,1,mls,FALSE
2023-05-28,Minnesota United,Real Salt Lake,1,1,mls,FALSE
2023-05-28,St. Louis City,Vancouver Whitecaps,3,1,mls,FALSE
2023-05-28,Colorado Rapids,FC Cincinnati,0,1,mls,FALSE
2023-05-28,Seattle Sounders,New York Red Bulls,1,0,mls,FALSE
2023-05-28,San Jose Earthquakes,FC Dallas,1,1,mls,FALSE
2023-05-28,Los Angeles Galaxy,Charlotte,0,1,mls,FALSE
2023-05-28,Sporting Kansas City,Portland Timbers,4,1,mls,FALSE
2023-05-29,Nashville SC,Columbus Crew,3,1,mls,FALSE
2023-05-31,Atlanta United,New England Revolution,3,3,mls,FALSE
2023-05-31,Philadelphia Union,Charlotte,1,0,mls,FALSE
2023-05-31,Toronto,Chicago Fire,0,0,mls,FALSE
2023-05-31,New York City,FC Cincinnati,1,3,mls,FALSE
2023-05-31,Columbus Crew,Colorado Rapids,3,2,mls,FALSE
2023-05-31,DC United,CF Montreal,2,2,mls,FALSE
2023-05-31,Inter Miami,New York Red Bulls,0,1,mls,FALSE
2023-06-01,Sporting Kansas City,FC Dallas,2,1,mls,FALSE
2023-06-01,Austin,Minnesota United,2,1,mls,FALSE
2023-06-01,Real Salt Lake,Los Angeles Galaxy,2,3,mls,FALSE
2023-06-01,Seattle Sounders,San Jose Earthquakes,0,1,mls,FALSE
2023-06-01,Vancouver Whitecaps,Houston Dynamo,6,2,mls,FALSE
2023-06-03,New York City,New England Revolution,0,0,mls,FALSE
2023-06-03,Seattle Sounders,Portland Timbers,0,0,mls,FALSE
2023-06-03,Philadelphia Union,CF Montreal,3,0,mls,FALSE
2023-06-03,New York Red Bulls,Orlando City SC,0,3,mls,FALSE
2023-06-03,Columbus Crew,Charlotte,4,2,mls,FALSE
2023-06-03,FC Cincinnati,Chicago Fire,1,0,mls,FALSE
2023-06-03,Inter Miami,DC United,1,2,mls,FALSE
2023-06-04,FC Dallas,Nashville SC,1,2,mls,FALSE
2023-06-04,Minnesota United,Toronto,1,1,mls,FALSE
2023-06-04,Austin,Real Salt Lake,1,2,mls,FALSE
2023-06-04,St. Louis City,Houston Dynamo,3,0,mls,FALSE
2023-06-04,Colorado Rapids,San Jose Earthquakes,0,0,mls,FALSE
2023-06-04,Vancouver Whitecaps,Sporting Kansas City,1,1,mls,FALSE
2023-06-08,FC Dallas,St. Louis City,2,0,mls,FALSE
2023-06-08,Los Angeles FC,Atlanta United,0,0,mls,FALSE
2023-06-10,Orlando City SC,Colorado Rapids,2,0,mls,FALSE
2023-06-10,Toronto,Nashville SC,1,1,mls,FALSE
2023-06-10,Atlanta United,DC United,3,1,mls,FALSE
2023-06-10,New England Revolution,Inter Miami,3,1,mls,FALSE
2023-06-10,CF Montreal,Minnesota United,4,0,mls,FALSE
2023-06-10,Charlotte,Seattle Sounders,3,3,mls,FALSE
2023-06-11,Houston Dynamo,Los Angeles FC,4,0,mls,FALSE
2023-06-11,Chicago Fire,Columbus Crew,1,2,mls,FALSE
2023-06-11,Sporting Kansas City,Austin,4,1,mls,FALSE
2023-06-11,Real Salt Lake,New York City,0,0,mls,FALSE
2023-06-11,San Jose Earthquakes,Philadelphia Union,2,1,mls,FALSE
2023-06-11,Vancouver Whitecaps,FC Cincinnati,1,1,mls,FALSE
2023-06-11,St. Louis City,Los Angeles Galaxy,1,1,mls,FALSE
2023-06-12,Portland Timbers,FC Dallas,1,0,mls,FALSE
2023-06-15,Los Angeles FC,Houston Dynamo,0,1,mls,FALSE
2023-06-17,New York City,Columbus Crew,1,1,mls,FALSE
2023-06-17,New England Revolution,Orlando City SC,3,1,mls,FALSE
2023-06-17,DC United,Real Salt Lake,1,2,mls,FALSE
2023-06-18,Sporting Kansas City,Los Angeles FC,1,2,mls,FALSE
2023-06-18,Nashville SC,St. Louis City,3,1,mls,FALSE
2023-06-18,San Jose Earthquakes,Portland Timbers,0,0,mls,FALSE
2023-06-21,Orlando City SC,Philadelphia Union,2,2,mls,FALSE
2023-06-21,New York Red Bulls,Charlotte,2,2,mls,FALSE
2023-06-21,Atlanta United,New York City,2,2,mls,FALSE
2023-06-21,CF Montreal,Nashville SC,1,0,mls,FALSE
2023-06-21,FC Cincinnati,Toronto,3,0,mls,FALSE
2023-06-22,Houston Dynamo,San Jose Earthquakes,4,1,mls,FALSE
2023-06-22,St. Louis City,Real Salt Lake,1,3,mls,FALSE
2023-06-22,Austin,FC Dallas,3,0,mls,FALSE
2023-06-22,Los Angeles Galaxy,Sporting Kansas City,2,2,mls,FALSE
2023-06-22,Los Angeles FC,Seattle Sounders,1,0,mls,FALSE
2023-06-22,Portland Timbers,Chicago Fire,1,2,mls,FALSE
2023-06-24,Philadelphia Union,Inter Miami,4,1,mls,FALSE
2023-06-24,New York Red Bulls,Atlanta United,4,0,mls,FALSE
2023-06-24,New England Revolution,Toronto,2,1,mls,FALSE
2023-06-24,Columbus Crew,Nashville SC,2,0,mls,FALSE
2023-06-24,DC United,FC Cincinnati,3,0,mls,FALSE
2023-06-24,Charlotte,CF Montreal,0,0,mls,FALSE
2023-06-25,Sporting Kansas City,Chicago Fire,0,1,mls,FALSE
2023-06-25,Real Salt Lake,Minnesota United,2,2,mls,FALSE
2023-06-25,Colorado Rapids,Los Angeles Galaxy,0,0,mls,FALSE
2023-06-25,Austin,Houston Dynamo,3,0,mls,FALSE
2023-06-25,Seattle Sounders,Orlando City SC,0,0,mls,FALSE
2023-06-25,San Jose Earthquakes,St. Louis City,1,2,mls,FALSE
2023-06-25,Los Angeles FC,Vancouver Whitecaps,2,3,mls,FALSE
2023-06-25,Portland Timbers,New York City,1,1,mls,FALSE
2023-07-01,Orlando City SC,Chicago Fire,3,1,mls,FALSE
2023-07-01,Toronto,Real Salt Lake,0,1,mls,FALSE
2023-07-01,Columbus Crew,New York Red Bulls,2,1,mls,FALSE
2023-07-01,CF Montreal,New York City,0,1,mls,FALSE
2023-07-01,FC Cincinnati,New England Revolution,2,2,mls,FALSE
2023-07-01,Inter Miami,Austin,1,1,mls,FALSE
2023-07-02,FC Dallas,Los Angeles FC,2,0,mls,FALSE
2023-07-02,Sporting Kansas City,Vancouver Whitecaps,3,0,mls,FALSE
2023-07-02,Minnesota United,Portland Timbers,4,1,mls,FALSE
2023-07-02,Nashville SC,DC United,2,0,mls,FALSE
2023-07-02,St. Louis City,Colorado Rapids,2,0,mls,FALSE
2023-07-02,Seattle Sounders,Houston Dynamo,1,0,mls,FALSE
2023-07-02,San Jose Earthquakes,Los Angeles Galaxy,2,2,mls,FALSE
2023-07-02,Atlanta United,Philadelphia Union,2,0,mls,FALSE
2023-07-04,Orlando City SC,Toronto,4,0,mls,FALSE
2023-07-04,Inter Miami,Columbus Crew,2,2,mls,FALSE
2023-07-05,FC Dallas,DC United,0,1,mls,FALSE
2023-07-05,Los Angeles Galaxy,Los Angeles FC,2,1,mls,FALSE
2023-07-05,New York City,Charlotte,1,1,mls,FALSE
2023-07-08,Toronto,St. Louis City,0,1,mls,FALSE
2023-07-08,New York Red Bulls,New England Revolution,2,1,mls,FALSE
2023-07-08,Columbus Crew,New York City,1,1,mls,FALSE
2023-07-08,CF Montreal,Atlanta United,0,1,mls,FALSE
2023-07-08,DC United,Inter Miami,2,2,mls,FALSE
2023-07-08,Charlotte,FC Cincinnati,2,2,mls,FALSE
2023-07-09,Houston Dynamo,Sporting Kansas City,2,2,mls,FALSE
2023-07-09,Chicago Fire,Nashville SC,1,0,mls,FALSE
2023-07-09,Minnesota United,Austin,1,4,mls,FALSE
2023-07-09,Real Salt Lake,Orlando City SC,4,0,mls,FALSE
2023-07-09,Colorado Rapids,FC Dallas,2,1,mls,FALSE
2023-07-09,Vancouver Whitecaps,Seattle Sounders,2,3,mls,FALSE
2023-07-09,Los Angeles Galaxy,Philadelphia Union,3,1,mls,FALSE
2023-07-09,Los Angeles FC,San Jose Earthquakes,1,1,mls,FALSE
